param_role,layer,parameter_name,decoherence_wake_update,gradient_wake_update,layer_normalized,run_id,seed,depth,horizon,decoherence_at_update0,decoherence_exact_zero_at_update0,gradient_sq_norm_at_update0,gradient_exact_zero_at_update0,wake_order_matches,role_rule_wake_update,role_rule_matches_both
attn_out,0,transformer.h.0.attn.c_proj.weight,0,0,0.0,d12-s7,7,12,2520,0.13472439348697662,False,2.67309933406068e-05,False,True,0,True
attn_out,1,transformer.h.1.attn.c_proj.weight,0,0,0.09090909090909091,d12-s7,7,12,2520,0.13393522799015045,False,1.9861163309542462e-05,False,True,0,True
attn_out,2,transformer.h.2.attn.c_proj.weight,0,0,0.18181818181818182,d12-s7,7,12,2520,0.13205775618553162,False,1.4368157280841842e-05,False,True,0,True
attn_out,3,transformer.h.3.attn.c_proj.weight,0,0,0.2727272727272727,d12-s7,7,12,2520,0.14598813652992249,False,1.187851194117684e-05,False,True,0,True
attn_out,4,transformer.h.4.attn.c_proj.weight,0,0,0.36363636363636365,d12-s7,7,12,2520,0.14004594087600708,False,1.0113830285263248e-05,False,True,0,True
attn_out,5,transformer.h.5.attn.c_proj.weight,0,0,0.45454545454545453,d12-s7,7,12,2520,0.13076521456241608,False,7.99579811427975e-06,False,True,0,True
attn_out,6,transformer.h.6.attn.c_proj.weight,0,0,0.5454545454545454,d12-s7,7,12,2520,0.1338638961315155,False,6.875366580061382e-06,False,True,0,True
attn_out,7,transformer.h.7.attn.c_proj.weight,0,0,0.6363636363636364,d12-s7,7,12,2520,0.1469784826040268,False,7.438214197463822e-06,False,True,0,True
attn_out,8,transformer.h.8.attn.c_proj.weight,0,0,0.7272727272727273,d12-s7,7,12,2520,0.1405775249004364,False,6.933173608558718e-06,False,True,0,True
attn_out,9,transformer.h.9.attn.c_proj.weight,0,0,0.8181818181818182,d12-s7,7,12,2520,0.13647203147411346,False,5.97897178522544e-06,False,True,0,True
attn_out,10,transformer.h.10.attn.c_proj.weight,0,0,0.9090909090909091,d12-s7,7,12,2520,0.14409621059894562,False,5.522733317775419e-06,False,True,0,True
attn_out,11,transformer.h.11.attn.c_proj.weight,0,0,1.0,d12-s7,7,12,2520,0.15159471333026886,False,4.952339622832369e-06,False,True,0,True
mlp_out,0,transformer.h.0.mlp.c_proj.weight,0,0,0.0,d12-s7,7,12,2520,0.11469780653715134,False,5.545219391933642e-05,False,True,0,True
mlp_out,1,transformer.h.1.mlp.c_proj.weight,0,0,0.09090909090909091,d12-s7,7,12,2520,0.11573705822229385,False,4.249762787367217e-05,False,True,0,True
mlp_out,2,transformer.h.2.mlp.c_proj.weight,0,0,0.18181818181818182,d12-s7,7,12,2520,0.12046807259321213,False,3.3489312045276165e-05,False,True,0,True
mlp_out,3,transformer.h.3.mlp.c_proj.weight,0,0,0.2727272727272727,d12-s7,7,12,2520,0.11483834683895111,False,2.6619301934260875e-05,False,True,0,True
mlp_out,4,transformer.h.4.mlp.c_proj.weight,0,0,0.36363636363636365,d12-s7,7,12,2520,0.11744386702775955,False,2.1207153622526675e-05,False,True,0,True
mlp_out,5,transformer.h.5.mlp.c_proj.weight,0,0,0.45454545454545453,d12-s7,7,12,2520,0.11359186470508575,False,1.7366288375342265e-05,False,True,0,True
mlp_out,6,transformer.h.6.mlp.c_proj.weight,0,0,0.5454545454545454,d12-s7,7,12,2520,0.11473398655653,False,1.4581133655156009e-05,False,True,0,True
mlp_out,7,transformer.h.7.mlp.c_proj.weight,0,0,0.6363636363636364,d12-s7,7,12,2520,0.11614926159381866,False,1.6566415069974028e-05,False,True,0,True
mlp_out,8,transformer.h.8.mlp.c_proj.weight,0,0,0.7272727272727273,d12-s7,7,12,2520,0.11260052770376205,False,1.4405054571398068e-05,False,True,0,True
mlp_out,9,transformer.h.9.mlp.c_proj.weight,0,0,0.8181818181818182,d12-s7,7,12,2520,0.11600645631551743,False,1.2594227882800624e-05,False,True,0,True
mlp_out,10,transformer.h.10.mlp.c_proj.weight,0,0,0.9090909090909091,d12-s7,7,12,2520,0.11569184809923172,False,1.1169291610713117e-05,False,True,0,True
mlp_out,11,transformer.h.11.mlp.c_proj.weight,0,0,1.0,d12-s7,7,12,2520,0.11751393973827362,False,1.019252886180766e-05,False,True,0,True
attn_k,0,transformer.h.0.attn.c_k.weight,1,1,0.0,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,1,transformer.h.1.attn.c_k.weight,1,1,0.09090909090909091,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,2,transformer.h.2.attn.c_k.weight,1,1,0.18181818181818182,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,3,transformer.h.3.attn.c_k.weight,1,1,0.2727272727272727,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,4,transformer.h.4.attn.c_k.weight,1,1,0.36363636363636365,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,5,transformer.h.5.attn.c_k.weight,1,1,0.45454545454545453,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,6,transformer.h.6.attn.c_k.weight,1,1,0.5454545454545454,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,7,transformer.h.7.attn.c_k.weight,1,1,0.6363636363636364,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,8,transformer.h.8.attn.c_k.weight,1,1,0.7272727272727273,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,9,transformer.h.9.attn.c_k.weight,1,1,0.8181818181818182,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,10,transformer.h.10.attn.c_k.weight,1,1,0.9090909090909091,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_k,11,transformer.h.11.attn.c_k.weight,1,1,1.0,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,0,transformer.h.0.attn.c_q.weight,1,1,0.0,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,1,transformer.h.1.attn.c_q.weight,1,1,0.09090909090909091,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,2,transformer.h.2.attn.c_q.weight,1,1,0.18181818181818182,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,3,transformer.h.3.attn.c_q.weight,1,1,0.2727272727272727,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,4,transformer.h.4.attn.c_q.weight,1,1,0.36363636363636365,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,5,transformer.h.5.attn.c_q.weight,1,1,0.45454545454545453,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,6,transformer.h.6.attn.c_q.weight,1,1,0.5454545454545454,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,7,transformer.h.7.attn.c_q.weight,1,1,0.6363636363636364,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,8,transformer.h.8.attn.c_q.weight,1,1,0.7272727272727273,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,9,transformer.h.9.attn.c_q.weight,1,1,0.8181818181818182,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,10,transformer.h.10.attn.c_q.weight,1,1,0.9090909090909091,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_q,11,transformer.h.11.attn.c_q.weight,1,1,1.0,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_v,0,transformer.h.0.attn.c_v.weight,1,1,0.0,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
attn_v,1,transformer.h.1.attn.c_v.weight,1,1,0.09090909090909091,d12-s7,7,12,2520,0.0,True,0.0,True,True,1,True
